タイトル,メモ,URL,コメント
石打丸山リゾートセンター,,https://www.google.com/maps/place/%E7%9F%B3%E6%89%93%E4%B8%B8%E5%B1%B1%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/data=!4m2!3m1!1s0x5ff5f9cd84115c6b:0x61b59daf62e8c1e2,
白馬コルチナスキー場,,https://www.google.com/maps/place/%E7%99%BD%E9%A6%AC%E3%82%B3%E3%83%AB%E3%83%81%E3%83%8A%E3%82%B9%E3%82%AD%E3%83%BC%E5%A0%B4/data=!4m2!3m1!1s0x5ff633664a2a1259:0x5051f369ab91dc28,
野沢温泉スキー場,,https://www.google.com/maps/place/%E9%87%8E%E6%B2%A2%E6%B8%A9%E6%B3%89%E3%82%B9%E3%82%AD%E3%83%BC%E5%A0%B4/data=!4m2!3m1!1s0x5ff605299256ce13:0x93879d18bb530dba,
焼額山スキー場,,https://www.google.com/maps/place/%E7%84%BC%E9%A1%8D%E5%B1%B1%E3%82%B9%E3%82%AD%E3%83%BC%E5%A0%B4/data=!4m2!3m1!1s0x601df0261f873f8f:0xba0a99256e9dd118,
白馬八方尾根スキー場,,https://www.google.com/maps/place/%E7%99%BD%E9%A6%AC%E5%85%AB%E6%96%B9%E5%B0%BE%E6%A0%B9%E3%82%B9%E3%82%AD%E3%83%BC%E5%A0%B4/data=!4m2!3m1!1s0x5ff7ce091c6f239d:0xba8737f8f8639f47,
神立スノーリゾート,,https://www.google.com/maps/place/%E7%A5%9E%E7%AB%8B%E3%82%B9%E3%83%8E%E3%83%BC%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88/data=!4m2!3m1!1s0x601e03c243dbb017:0x9dfdc0d3ea9e4d89,
かぐらスキー場,,https://www.google.com/maps/place/%E3%81%8B%E3%81%90%E3%82%89%E3%82%B9%E3%82%AD%E3%83%BC%E5%A0%B4/data=!4m2!3m1!1s0x601e00ac2c616b31:0x85a816657dbc031e,
ロッテアライリゾート,,https://www.google.com/maps/place/%E3%83%AD%E3%83%83%E3%83%86%E3%82%A2%E3%83%A9%E3%82%A4%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88/data=!4m2!3m1!1s0x5ff66cafbd60303d:0x40dcfb9a8588279a,
妙高杉ノ原スキー場,,https://www.google.com/maps/place/%E5%A6%99%E9%AB%98%E6%9D%89%E3%83%8E%E5%8E%9F%E3%82%B9%E3%82%AD%E3%83%BC%E5%A0%B4/data=!4m2!3m1!1s0x5ff63c8e06f6c027:0x64673991b8689aeb,
六日町八海山スキー場,,https://www.google.com/maps/place/%E5%85%AD%E6%97%A5%E7%94%BA%E5%85%AB%E6%B5%B7%E5%B1%B1%E3%82%B9%E3%82%AD%E3%83%BC%E5%A0%B4/data=!4m2!3m1!1s0x5ff58ca6eb098311:0xeeb56a261dc8a822,
上越国際スキー場,,https://www.google.com/maps/place/%E4%B8%8A%E8%B6%8A%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%AD%E3%83%BC%E5%A0%B4/data=!4m2!3m1!1s0x5ff5fa615558f4fd:0xf4a95619f2150181,
舞子スノーリゾート 日帰りスキーセンター,,https://www.google.com/maps/place/%E8%88%9E%E5%AD%90%E3%82%B9%E3%83%8E%E3%83%BC%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88+%E6%97%A5%E5%B8%B0%E3%82%8A%E3%82%B9%E3%82%AD%E3%83%BC%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/data=!4m2!3m1!1s0x5ff5f867b34bb0d9:0xecb93480fe45f34e,
苗場スキー場,,https://www.google.com/maps/place/%E8%8B%97%E5%A0%B4%E3%82%B9%E3%82%AD%E3%83%BC%E5%A0%B4/data=!4m2!3m1!1s0x5ff4c61bf8ebffff:0x6afe52a8d2378486,
